x,y,Umag,Vorticity_z
13.42500019,-6.75,1.020487869,-0.0007547604037
13.5,-6.75,1.019134947,-0.000763037242
13.57499981,-6.75,1.017782025,-0.0007713141385
13.64999962,-6.75,1.016429103,-0.0007795909769
13.72500038,-6.75,1.015076163,-0.0007878679316
13.80000019,-6.75,1.013780471,-0.0007972298772
13.875,-6.75,1.012487916,-0.000806651311
13.94999981,-6.75,1.01119536,-0.0008160727448
14.02499962,-6.75,1.009902805,-0.0008254941204
14.10000038,-6.75,1.008683341,-0.000835801824
14.17500019,-6.75,1.007482999,-0.0008463409613
14.25,-6.75,1.006282658,-0.0008568801568
14.32499981,-6.75,1.005082316,-0.0008674192941
14.39999962,-6.75,1.003951935,-0.0008785398677
14.47500038,-6.75,1.00287613,-0.0008901142864
14.55000019,-6.75,1.00180034,-0.0009016885306
14.625,-6.75,1.000724549,-0.0009132627747
14.69999981,-6.75,0.9996885418,-0.0009250513394
14.77499962,-6.75,0.9987697988,-0.0009374713991
14.85000038,-6.75,0.9978510441,-0.0009498916916
14.92500019,-6.75,0.9969323011,-0.0009623118094
15,-6.75,0.9960135581,-0.0009747319273
15.07499981,-6.75,0.9952586608,-0.0009875925025
15.14999962,-6.75,0.9945290573,-0.001000521006
15.22500038,-6.75,0.9937994445,-0.001013449742
15.30000019,-6.75,0.9930698411,-0.001026378362
15.375,-6.75,0.9924280501,-0.001039338298
15.44999981,-6.75,0.9919184831,-0.001052345498
15.52499962,-6.75,0.991408916,-0.001065352699
15.60000038,-6.75,0.9908993424,-0.001078360132
15.67500019,-6.75,0.9903897753,-0.001091367332
15.75,-6.75,0.9900916115,-0.0011040268
15.82499981,-6.75,0.9898306631,-0.001116625033
15.89999962,-6.75,0.9895697148,-0.001129223267
15.97500038,-6.75,0.9893087631,-0.001141821733
16.04999924,-6.75,0.9891075743,-0.001154234749
16.125,-6.75,0.9891201657,-0.001165985945
16.20000076,-6.75,0.9891327571,-0.00117773714
16.27499962,-6.75,0.9891453482,-0.001189488103
16.35000038,-6.75,0.9891579396,-0.001201239298
16.42499924,-6.75,0.9893176707,-0.001212316216
16.5,-6.75,0.9896233643,-0.00122272491
16.57500076,-6.75,0.989929058,-0.00123313372
16.64999962,-6.75,0.9902347439,-0.001243542181
16.72500038,-6.75,0.9905404376,-0.001253950875
16.79999924,-6.75,0.9910596195,-0.001263056882
16.875,-6.75,0.9916705557,-0.001271603629
16.95000076,-6.75,0.992281492,-0.00128015026
17.02499962,-6.75,0.9928924128,-0.001288696658
17.10000038,-6.75,0.9935033491,-0.001297243289
17.17499924,-6.75,0.9943631309,-0.00130421319
17.25,-6.75,0.9952816296,-0.001310811378
17.32500076,-6.75,0.9962001283,-0.001317409682
17.39999962,-6.75,0.9971186037,-0.001324007637
17.47500038,-6.75,0.9980371024,-0.001330605824
17.54999924,-6.75,0.9992027668,-0.001335677109
17.625,-6.75,1.00041925,-0.00134043477
17.70000076,-6.75,1.001635734,-0.001345192431
17.77499962,-6.75,1.002852187,-0.001349949976
17.85000038,-6.75,1.00406867,-0.001354707638
17.92499924,-6.75,1.005494117,-0.001356755849
18,-6.75,1.006985958,-0.001357943867
-6,-6.675000191,1.006237769,-0.001231834292
-5.925000191,-6.675000191,1.00654563,-0.001233845716
-5.849999905,-6.675000191,1.006862098,-0.001235517673
-5.775000095,-6.675000191,1.00720067,-0.00123631733
-5.699999809,-6.675000191,1.007539245,-0.001237117103
-5.625,-6.675000191,1.007890961,-0.00123743841
-5.550000191,-6.675000191,1.008261108,-0.001237088698
-5.474999905,-6.675000191,1.008631258,-0.001236738986
-5.400000095,-6.675000191,1.009022061,-0.001235652482
-5.324999809,-6.675000191,1.009424334,-0.001234156894
-5.25,-6.675000191,1.009826605,-0.001232661423
-5.175000191,-6.675000191,1.010260049,-0.001230127993
-5.099999905,-6.675000191,1.010694881,-0.001227548462
-5.025000095,-6.675000191,1.011141426,-0.001224634936
-4.949999809,-6.675000191,1.011609079,-0.001221119775
-4.875,-6.675000191,1.01207673,-0.001217604615
-4.800000191,-6.675000191,1.012571882,-0.001213314943
-4.724999905,-6.675000191,1.013072326,-0.001208876143
-4.650000095,-6.675000191,1.013585858,-0.001204056549
-4.574999809,-6.675000191,1.01411902,-0.001198665705
-4.5,-6.675000191,1.014653426,-0.001193243079
-4.425000191,-6.675000191,1.015218774,-0.001187030692
-4.349999905,-6.675000191,1.015784126,-0.001180818304
-4.275000095,-6.675000191,1.016373358,-0.001174118021
-4.199999809,-6.675000191,1.016970468,-0.001167256851
-4.125,-6.675000191,1.017584193,-0.001160096959
-4.050000191,-6.675000191,1.018212203,-0.001152680023
-3.974999905,-6.675000191,1.018852019,-0.001145023038
-3.900000095,-6.675000191,1.019510022,-0.001136996085
-3.825000048,-6.675000191,1.020177212,-0.001128782984
-3.75,-6.675000191,1.020864182,-0.001120168949
-3.674999952,-6.675000191,1.021559621,-0.00111141568
-3.599999905,-6.675000191,1.022274233,-0.00110234716
-3.525000095,-6.675000191,1.022998304,-0.00109312695
-3.450000048,-6.675000191,1.023739244,-0.001083636191
-3.375,-6.675000191,1.02449197,-0.001074002241
-3.299999952,-6.675000191,1.025257783,-0.001064209617
-3.224999905,-6.675000191,1.02603873,-0.001054152264
-3.150000095,-6.675000191,1.026827894,-0.001043951255
-3.075000048,-6.675000191,1.027636062,-0.001033772249
-3,-6.675000191,1.028450185,-0.00102339359
-2.924999952,-6.675000191,1.029280969,-0.001012011315
-2.849999905,-6.675000191,1.030121011,-0.001002229052
-2.775000095,-6.675000191,1.030969942,-0.0009939839365
-2.700000048,-6.675000191,1.0318342,-0.0009763641865
-2.625,-6.675000191,1.032704921,-0.0009696066263
-2.549999952,-6.675000191,1.033584648,-0.0009848604677
-2.474999905,-6.675000191,1.034477311,-0.0009022235172
-2.400000095,-6.675000191,1.035374424,-0.0009584215586
-2.325000048,-6.675000191,1.036274826,-0.001263379003
-2.25,-6.675000191,1.0371991,-0.0007564519765
-2.174999952,-6.675000191,1.03810206,-0.001590164495
-2.099999905,-6.675000191,1.038899589,-0.003687356832
-2.025000095,-6.675000191,1.040438885,-0.005503584165
-1.950000048,-6.675000191,1.040977877,-0.003557901829
-1.875,-6.675000191,1.041857814,-0.001594922971
-1.799999952,-6.675000191,1.042794092,-0.0008232641849
-1.725000024,-6.675000191,1.043733791,-0.0008131563081
-1.649999976,-6.675000191,1.044678155,-0.0008041657857
-1.575000048,-6.675000191,1.045613877,-0.0007948217681
-1.5,-6.675000191,1.046549605,-0.0007857030141
