Points:0,Points:1,Points:2,U:0,U:1,U:2,Umag,Vorticity:0,Vorticity:1,Vorticity:2,Q,Qstar
0.6624482274,-0.8403377533,0,-0.01756960712,-0.01744182408,-5.890086197e-09,0.02475698531,5.182625529e-08,4.975467505e-08,-0.08731428534,-0.01181183476,-0.04724733904
0.6289727688,-0.8657364249,0,-0.01342479978,-0.01481247973,-5.568637995e-09,0.01999086803,5.01249815e-08,4.561996292e-08,0.02183522657,-0.01873941161,-0.07495764643
0.5945217609,-0.8897954226,0,-0.007736113388,-0.01181344967,-5.219149557e-09,0.01412108507,4.690416944e-08,4.117344687e-08,0.1520163566,-0.02668923885,-0.1067569554
0.5591489077,-0.9124773741,0,-0.0003303544654,-0.008509391919,-4.853129898e-09,0.00851580207,4.343316817e-08,3.669271464e-08,0.3053304851,-0.03521653265,-0.1408661306
0.5229091644,-0.9337468743,0,0.008943377063,-0.005012260284,-4.481205629e-09,0.01025215814,4.068424886e-08,3.258848125e-08,0.4833278954,-0.04342538118,-0.1737015247
0.4858588874,-0.953570962,0,0.02021150105,-0.001472395845,-4.112542307e-09,0.02026506166,3.801442716e-08,2.866984161e-08,0.6869575381,-0.049981758,-0.199927032
0.4480557442,-0.9719187617,0,0.03357217088,0.001930756844,-3.754431877e-09,0.03362764458,3.490911737e-08,2.486535067e-08,0.9165297747,-0.05316470936,-0.2126588374
0.4095585346,-0.9887616634,0,0.04908933863,0.00499687437,-3.412413685e-09,0.04934300275,3.185576958e-08,2.136807353e-08,1.171694517,-0.0509307459,-0.2037229836
0.3704271317,-1.004073501,0,0.06678517163,0.007511696778,-3.090255385e-09,0.06720628496,2.888718065e-08,1.820624895e-08,1.451432824,-0.04098289832,-0.1639315933
0.3307224214,-1.017830491,0,0.08663246036,0.009253335185,-2.789768194e-09,0.08712523974,2.558216039e-08,1.539655869e-08,1.754058361,-0.02083891444,-0.08335565776
